MATERIALS	8
CONSTRUCTION AND BUILDING MATERIALS	7
FRONTIERS OF STRUCTURAL AND CIVIL ENGINEERING	7
APPLIED SCIENCES-BASEL	5
JOURNAL OF MATERIALS IN CIVIL ENGINEERING	4
GEOTECHNICAL AND GEOLOGICAL ENGINEERING	3
SENSORS	3
ENGINEERING STRUCTURES	2
FIRST RILEM INTERNATIONAL CONFERENCE ON CONCRETE AND DIGITAL FABRICATION - DIGITAL CONCRETE 2018	2
INTERNATIONAL JOURNAL OF STRUCTURAL STABILITY AND DYNAMICS	2
KSCE JOURNAL OF CIVIL ENGINEERING	2
RILEM Bookseries	2
ROAD MATERIALS AND PAVEMENT DESIGN	2
SUSTAINABILITY	2
3RD WORLD MULTIDISCIPLINARY CIVIL ENGINEERING, ARCHITECTURE, URBAN PLANNING SYMPOSIUM (WMCAUS 2018)	1
ADVANCES IN CIVIL ENGINEERING	1
ADVANCES IN MATERIALS SCIENCE AND ENGINEERING	1
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING	1
AUSTRALIAN JOURNAL OF CIVIL ENGINEERING	1
Advances in Intelligent Systems and Computing	1
BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY	1
BUILDING SIMULATION	1
BUILDINGS	1
BULLETIN OF EARTHQUAKE ENGINEERING	1
CEMENT & CONCRETE COMPOSITES	1
CEMENT WAPNO BETON	1
COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING	1
COMPUTERS AND CONCRETE	1
EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS	1
EARTHQUAKE ENGINEERING AND ENGINEERING VIBRATION	1
EARTHQUAKE SPECTRA	1
ENERGY	1
ENVIRONMENTAL EARTH SCIENCES	1
EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING	1
EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE	1
EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS	1
EXPERT SYSTEMS	1
GEOMECHANICS AND GEOENGINEERING-AN INTERNATIONAL JOURNAL	1
GEOSCIENCES	1
HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES	1
IEEE ACCESS	1
INNOVATIONS IN INFRASTRUCTURE	1
INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS	1
INTERNATIONAL JOURNAL OF FATIGUE	1
INTERNATIONAL JOURNAL OF GEOTECHNICAL ENGINEERING	1
INTERNATIONAL JOURNAL OF SYSTEM ASSURANCE ENGINEERING AND MANAGEMENT	1
IOP Conference Series-Materials Science and Engineering	1
JOURNAL OF APPLIED WATER ENGINEERING AND RESEARCH	1
JOURNAL OF BUILDING ENGINEERING	1
JOURNAL OF COMPOSITE MATERIALS	1
JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH	1
JOURNAL OF EARTHQUAKE ENGINEERING	1
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS	1
JOURNAL OF SUSTAINABLE CEMENT-BASED MATERIALS	1
JOURNAL OF TRAFFIC AND TRANSPORTATION ENGINEERING-ENGLISH EDITION	1
JOURNAL OF TRANSPORTATION ENGINEERING PART B-PAVEMENTS	1
JOURNAL OF VIBROENGINEERING	1
MAGAZINE OF CIVIL ENGINEERING	1
MATERIALS & DESIGN	1
MATERIALS AND STRUCTURES	1
MATERIALS TESTING	1
MATHEMATICAL GEOSCIENCES	1
MECHANICAL SYSTEMS AND SIGNAL PROCESSING	1
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES	1
MRS COMMUNICATIONS	1
NUCLEAR ENGINEERING AND DESIGN	1
OPTIK	1
RELIABILITY ENGINEERING & SYSTEM SAFETY	1
SAFETY SCIENCE	1
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING	1
STRUCTURAL SAFETY	1
SURFACE TOPOGRAPHY-METROLOGY AND PROPERTIES	1
THEORETICAL AND APPLIED FRACTURE MECHANICS	1
THIN-WALLED STRUCTURES	1
TRANSPORTATION RESEARCH RECORD	1
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY	1
UNDERGROUND SPACE	1
WATER	1
ZKG INTERNATIONAL	1
